번호,시도명,시군구명,동읍면,배출장소,배출장소유형,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,데이터기준일자
6936,전북특별자치도,고창군,성송면,성송면 백토 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6937,전북특별자치도,고창군,성송면,성송면 암치 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6938,전북특별자치도,고창군,성송면,성송면 후방 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6939,전북특별자치도,고창군,성송면,성송면 갈산 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6940,전북특별자치도,고창군,성송면,성송면 내원 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6941,전북특별자치도,고창군,성송면,성송면 송산 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6942,전북특별자치도,고창군,성송면,성송면 양사 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6943,전북특별자치도,고창군,성송면,성송면 남창 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6944,전북특별자치도,고창군,성송면,성송면 삼태 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6945,전북특별자치도,고창군,성송면,성송면 방축 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6946,전북특별자치도,고창군,성송면,성송면 외원 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6947,전북특별자치도,고창군,성송면,성송면 산수 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6948,전북특별자치도,고창군,신림면,신림면 부송 마을회관앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6949,전북특별자치도,고창군,신림면,신림면 서월 마을회관앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6950,전북특별자치도,고창군,신림면,신림면 벽송 마을회관앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6951,전북특별자치도,고창군,흥덕면,흥덕면 서삼마을 흥덕한의원,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6952,전북특별자치도,고창군,고창읍,고창읍 대성연립,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6953,전북특별자치도,고창군,고창읍,고창읍 동백아파트,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6954,전북특별자치도,고창군,고창읍,고창읍 리안채아파트,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6955,전북특별자치도,고창군,고창읍,고창읍 농산물유통센터,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6956,전북특별자치도,고창군,고창읍,고창읍 은동마을 회관,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6957,전북특별자치도,고창군,고창읍,고창읍 내동마을 회관,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6958,전북특별자치도,고창군,고창읍,고창읍 남흥동,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6959,전북특별자치도,고창군,공음면,공음면 해정경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6960,전북특별자치도,고창군,공음면,공음면 대정경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6961,전북특별자치도,고창군,공음면,공음면 선동경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6962,전북특별자치도,고창군,공음면,공음면 수원경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6963,전북특별자치도,고창군,공음면,공음면 평산경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6964,전북특별자치도,고창군,공음면,공음면 예전상회 및 버스정류장 인근 공터,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6965,전북특별자치도,고창군,공음면,공음면 하군경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6966,전북특별자치도,고창군,공음면,공음면 하건경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6967,전북특별자치도,고창군,공음면,공음면 송산경로당 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6968,전북특별자치도,고창군,고창읍,고창읍 대한꽃농원,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6969,전북특별자치도,고창군,고창읍,고창읍 기아자동차,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6970,전북특별자치도,고창군,고창읍,고창읍 농수산마트,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6971,전북특별자치도,고창군,고창읍,고창읍 토속해장국,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6972,전북특별자치도,고창군,고창읍,고창읍 석정회관,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6973,전북특별자치도,고창군,고창읍,고창읍 고창읍사무소,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6974,전북특별자치도,고창군,고창읍,고창읍 매산마을,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6975,전북특별자치도,고창군,고창읍,고창읍 도산마을,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6976,전북특별자치도,고창군,고창읍,고창읍 전북대학교 고창캠퍼스,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6977,전북특별자치도,고창군,고창읍,고창읍 고인돌박물관,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6978,전북특별자치도,고창군,고창읍,고창읍 천주교뒤,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6979,전북특별자치도,고창군,고창읍,고창읍 새고창장례식장,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6980,전북특별자치도,고창군,고창읍,고창읍 경안교회,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6981,전북특별자치도,고창군,고창읍,고창읍 시장주차장,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6982,전북특별자치도,고창군,고창읍,고창읍 백양마트,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6983,전북특별자치도,고창군,고창읍,고창읍 고창중앙가구,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6984,전북특별자치도,고창군,아산면,아산면 월성 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6985,전북특별자치도,고창군,아산면,아산면 용장 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6986,전북특별자치도,고창군,아산면,아산면 흥룡 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6987,전북특별자치도,고창군,아산면,아산면 남산 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6988,전북특별자치도,고창군,아산면,아산면 주진 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6989,전북특별자치도,고창군,아산면,아산면 대기 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6990,전북특별자치도,고창군,아산면,아산면 동촌 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6991,전북특별자치도,고창군,아산면,아산면 독곡 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6992,전북특별자치도,고창군,아산면,아산면 탑정 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6993,전북특별자치도,고창군,아산면,아산면 마명 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6994,전북특별자치도,고창군,아산면,아산면 반암 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6995,전북특별자치도,고창군,아산면,아산면 구암 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6996,전북특별자치도,고창군,아산면,아산면 부정 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6997,전북특별자치도,고창군,아산면,아산면 계산 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6998,전북특별자치도,고창군,아산면,아산면 용계 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
6999,전북특별자치도,고창군,아산면,아산면 방원 마을회관 앞,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7000,전북특별자치도,고창군,흥덕면,흥덕면 서이마을 보은마트,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7001,전북특별자치도,고창군,흥덕면,흥덕면 서이마을 흥덕형제철물,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7002,전북특별자치도,고창군,흥덕면,흥덕면 서이마을 흥덕건강원,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7003,전북특별자치도,고창군,흥덕면,흥덕면 흥남마을 청소년문화의집,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7004,전북특별자치도,고창군,흥덕면,흥덕면 흥남마을 흥덕할인마트,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7005,전북특별자치도,고창군,흥덕면,흥덕면 흥동마을 흥덕파출소,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7006,전북특별자치도,고창군,흥덕면,흥덕면 흥동마을 (구) 동아일보,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7007,전북특별자치도,고창군,흥덕면,흥덕면 흥동마을 흥덕중학교,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7008,전북특별자치도,고창군,흥덕면,흥덕면 신덕 마을회관,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7009,전북특별자치도,고창군,흥덕면,흥덕면 남당 마을회관,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7010,전북특별자치도,고창군,흥덕면,흥덕면 용반마을 용반진료소,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
7011,전북특별자치도,고창군,흥덕면,흥덕면 용반마을 회관,거점수거,쓰레기 종량제 봉투에 넣어 지정된 요일에 배출,물기를 최대한 제거한 후 전용용기 배출,재활용품 분리수거대 또는 투명한 비닐봉투에 담아 지정된 장소에 배출,면사무소에 신고 후 수수료를 납부하고 마대에 담아 지정된 장소에 배출,문전수거,2024-06-03
